location,date,total_cases
Japan,2020/2/1,20
Japan,2020/3/1,259
Japan,2020/4/1,2535
Japan,2020/5/1,14558
Japan,2020/6/1,16787
Japan,2020/7/1,18838
Japan,2020/8/1,37804
Japan,2020/9/1,69023
Japan,2020/10/1,84244
Japan,2020/11/1,101943
Japan,2020/12/1,150976
Japan,2021/1/1,239068
Japan,2021/2/1,391956
Japan,2021/3/1,432778
Japan,2021/4/1,477239
Japan,2021/5/1,599253
Japan,2021/6/1,749829
United States,2020/2/1,8
United States,2020/3/1,32
United States,2020/4/1,224587
United States,2020/5/1,1116012
United States,2020/6/1,1816207
United States,2020/7/1,2694053
United States,2020/8/1,4623665
United States,2020/9/1,6068792
United States,2020/10/1,7281148
United States,2020/11/1,9270686
United States,2020/12/1,13859037
United States,2021/1/1,20254160
United States,2021/2/1,26384317
United States,2021/3/1,28709536
United States,2021/4/1,30544235
United States,2021/5/1,32396252
United States,2021/6/1,33290532
Australia,2020/2/1,12
Australia,2020/3/1,27
Australia,2020/4/1,4862
Australia,2020/5/1,6778
Australia,2020/6/1,7221
Australia,2020/7/1,8001
Australia,2020/8/1,17895
Australia,2020/9/1,25923
Australia,2020/10/1,27109
Australia,2020/11/1,27601
Australia,2020/12/1,27923
Australia,2021/1/1,28460
Australia,2021/2/1,28823
Australia,2021/3/1,28986
Australia,2021/4/1,29333
Australia,2021/5/1,29824
Australia,2021/6/1,30124
